Code	FOOD ITEM	REFERENCE PORTION	Portion in grams
		B4, 3/4 (Grilled/boiled/canned, cooked)	86.59
		B5, 3/4 (Grilled/boiled/canned, cooked)	132.73
		Canned Tuna/ Sardine 	100.00
7.2	Fish Fried 	Side B	
		B1,5 /6 (Fried fish, cooked)	33.38
		B2, 5 / 6 (Fried fish, cooked)	75.10
		B3, 5/6 (Fried Fish, cooked)	96.47
		B4, 5/6 (Fried Fish, cooked)	147.20
		B5, 5/6 (Fried Fish, cooked)	225.64
		B1,3/ 4 (Fried fish, cooked)	16.69
		B2, 3/ 4 (Fried fish, cooked)	37.55
		B3, 3/ 4 (Fried Fish, cooked)	48.23
		B4, 3/ 4 (Fried Fish, cooked)	73.60
		B5, 3/ 4 (Fried Fish, cooked)	112.82
7.3.1	Seafood-Grilled/Boiled/Canned /Raw  " Shrimp"	Shrimp: 1 medium	
		 Seafood, fresh, Shrimp: 1 medium	13.00
7.3.2	Seafood-Grilled/Boiled/Canned /Raw  " Calamari"	Calamari: 1 medium	
		Seafood, fresh, Calamari: 1 medium	18.00
7.3.3	Seafood-Grilled/Boiled/Canned /Raw  " Crab"	Crab stick: 1 stick	
		Seafood, fresh, Crab: 1 medium	33.00
7.4.1	Seafood-Fried "Shrimp"	Shrimp: 1 medium	
		 Seafood, fresh, Shrimp: 1 medium	13.00
7.4.2	Seafood-Fried "Calamari"	Calamari: 1 medium	
		Seafood, fresh, Calamari: 1 medium	18.00
7.4.3	Seafood-Fried "Crab"	Crab stick: 1 stick	
		Seafood, fresh, Crab: 1 medium	33.00
8.1	Beans, Chickpeas, Fava Beans, Lentils 	Side A (Beans, Chickpeas, Fava Beans, Lentils, density=0.78)	
		A1 (Beans, Chickpeas, Fava Beans, Lentils)	3.45
		A2 (Beans, Chickpeas, Fava Beans, Lentils)	10.35
		A3 (Beans, Chickpeas, Fava Beans, Lentils)	12.35
		A4 (Beans, Chickpeas, Fava Beans, Lentils)	62.09
		A5 (Beans, Chickpeas, Fava Beans, Lentils)	72.43
		A6 (Beans, Chickpeas, Fava Beans, Lentils)	186.26
		A7 (Beans, Chickpeas, Fava Beans, Lentils)	31.04
		A8 (Beans, Chickpeas, Fava Beans, Lentils)	227.65
		A9 (Beans, Chickpeas, Fava Beans, Lentils)	248.35
		A10 (Beans, Chickpeas, Fava Beans, Lentils)	124.17
		A11 (Beans, Chickpeas, Fava Beans, Lentils)	124.17
		A12 (Beans, Chickpeas, Fava Beans, Lentils)	51.74
		A13 (Beans, Chickpeas, Fava Beans, Lentils)	248.35
		A14 (Beans, Chickpeas, Fava Beans, Lentils)	370.86
		A15 (Beans, Chickpeas, Fava Beans, Lentils)	331.13
		A16 (Beans, Chickpeas, Fava Beans, Lentils)	-1.0
8.2	Salted roasted/Nuts/ Seeds	Side A (Salted roasted/Nuts/ Seeds, Density=0.5)	
		A1 (Salted roasted/Nuts/ Seeds)	2.36
		A2  (Salted roasted/Nuts/ Seeds)	5.09
		A3 (Salted roasted/Nuts/ Seeds)	7.59
		A4 (Salted roasted/Nuts/ Seeds)	42.53
		A5 (Salted roasted/Nuts/ Seeds)	49.61
		A6 (Salted roasted/Nuts/ Seeds)	127.58
		A7 (Salted roasted/Nuts/ Seeds)	21.26
		A8 (Salted roasted/Nuts/ Seeds)	155.93
		A9 (Salted roasted/Nuts/ Seeds)	170.10
		A10 (Salted roasted/Nuts/ Seeds)	85.05
		A11 (Salted roasted/Nuts/ Seeds)	85.05
		A12 (Salted roasted/Nuts/ Seeds)	35.44
		A13 (Salted roasted/Nuts/ Seeds)	170.10
		A14 (Salted roasted/Nuts/ Seeds)	254.02
		A15 (Salted roasted/Nuts/ Seeds)	226.80
		A16 (Salted roasted/Nuts/ Seeds)	85.05
8.3	Unsalted raw Nuts/ Seeds	Side A (Unsalted raw Nuts/ Seeds)	
		A1 (Unsalted raw Nuts/ Seeds)	2.36
		A2 (Unsalted raw Nuts/ Seeds)	5.09
		A3 (Unsalted raw Nuts/ Seeds)	7.59
		A4 (Unsalted raw Nuts/ Seeds)	42.53
		A5 (Unsalted raw Nuts/ Seeds)	49.61
		A6 (Unsalted raw Nuts/ Seeds)	127.58
		A7 (Unsalted raw Nuts/ Seeds)	21.26
		A8 (Unsalted raw Nuts/ Seeds)	155.93
		A9 (Unsalted raw Nuts/ Seeds)	170.10
		A10 (Unsalted raw Nuts/ Seeds)	85.05
		A11 (Unsalted raw Nuts/ Seeds)	85.05
		A12 (Unsalted raw Nuts/ Seeds)	35.44
		A13 (Unsalted raw Nuts/ Seeds)	170.10
		A14 (Unsalted raw Nuts/ Seeds)	254.02
		A15 (Unsalted raw Nuts/ Seeds)	226.80
		A16 (Unsalted raw Nuts/ Seeds)	85.05
8.4	Nut butters (peanut butter, almond butter)	Side A (peanut butter, almond butter, density= 1.1)	
		A1 (Nut butters)	5.20
		A2 (Nut butters)	11.19
		A3 (Nut butters)	16.69
		A4 (Nut butters)	93.56
8.5	Falafel (fried)	1 falafel piece	
		1 falafel piece	22.50
9.1	Al Harees/ Madhrooba	Side A (Al Harees/ Madhrooba, density= 0.9)	
		A1 (Al Harees/ Madhrooba)	4.25
		A2 (Al Harees/ Madhrooba)	9.16
		A3 (Al Harees/ Madhrooba)	13.66
		A4 (Al Harees/ Madhrooba)	76.55
		A5 (Al Harees/ Madhrooba)	89.30
		A6 (Al Harees/ Madhrooba)	229.64
		A7 (Al Harees/ Madhrooba)	38.27
		A8 (Al Harees/ Madhrooba)	280.67
		A9 (Al Harees/ Madhrooba)	306.18
		A10 (Al Harees/ Madhrooba)	153.09
		A11 (Al Harees/ Madhrooba)	153.09
		A12 (Al Harees/ Madhrooba)	63.79
		A13 (Al Harees/ Madhrooba)	306.18
		A14 (Al Harees/ Madhrooba)	457.23
		A15 (Al Harees/ Madhrooba)	408.24
		A16 (Al Harees/ Madhrooba)	153.09
9.2	Thareed	Side A (Thareed, Density= 0.8)	
		A1 (thareed)	3.78
		A2 (thareed)	8.14
		A3 (thareed)	12.14
		A4 (thareed)	68.04
		A5 (thareed)	79.38
		A6 (thareed)	204.12
		A7 (thareed)	34.02
		A8 (thareed)	249.48
		A9 (thareed)	272.16
		A10 (thareed)	136.08
		A11 (thareed)	136.08
		A12 (thareed)	56.70
		A13 (thareed)	272.16
		A14 (thareed)	406.43
		A15 (thareed)	362.88
		A16 (thareed)	136.08
9.3	Balaleet	Side A (Balaleet, Density= 0.75)	
		A1 (Balaleet)	3.54
		A2 (Balaleet)	7.63
		A3 (Balaleet)	11.38
		A4 (Balaleet)	63.79
		A5 (Balaleet)	74.42
		A6 (Balaleet)	191.36
		A7 (Balaleet)	31.89
		A8 (Balaleet)	233.89
		A9 (Balaleet)	255.15
		A10 (Balaleet)	127.58
		A11 (Balaleet)	127.58
		A12 (Balaleet)	53.16
		A13 (Balaleet)	255.15
		A14 (Balaleet)	381.02
		A15 (Balaleet)	340.20
		A16 (Balaleet)	127.58
9.4	Machboos/ Biryani/ 	Side A (Machboos/ biryani)	
		A1 (Machboos/ biryani)	3.54
		A2 (Machboos/ biryani)	7.63
		A3 (Machboos/ biryani)	11.38
		A4 (Machboos/ biryani)	63.79
		A5 (Machboos/ biryani)	74.42
		A6 (Machboos/ biryani)	191.36
		A7 (Machboos/ biryani)	31.89
		A8 (Machboos/ biryani)	233.89
		A9 (Machboos/ biryani)	255.15
		A10 (Machboos/ biryani)	127.58
		A11 (Machboos/ biryani)	127.58
		A12 (Machboos/ biryani)	53.16
		A13 (Machboos/ biryani)	255.15
		A14 (Machboos/ biryani)	381.02
		A15 (Machboos/ biryani)	340.20
		A16 (Machboos/ biryani)	127.58
9.5	Rice Muhammar or Baranyoosh**	Side A (Rice Muhammar/ Baranyoosh)	
		A1 (Rice Muhammar/ Baranyoosh)	3.54
		A2 (Rice Muhammar/ Baranyoosh)	7.63
		A3 (Rice Muhammar/ Baranyoosh)	11.38
		A4 (Rice Muhammar/ Baranyoosh)	63.79
		A5 (Rice Muhammar/ Baranyoosh)	74.42
		A6 (Rice Muhammar/ Baranyoosh)	191.36
		A7 (Rice Muhammar/ Baranyoosh)	31.89
		A8 (Rice Muhammar/ Baranyoosh)	233.89
		A9 (Rice Muhammar/ Baranyoosh)	255.15
		A10 (Rice Muhammar/ Baranyoosh)	127.58
		A11 (Rice Muhammar/ Baranyoosh)	127.58
		A12 (Rice Muhammar/ Baranyoosh)	53.16
		A13 (Rice Muhammar/ Baranyoosh)	255.15
		A14 (Rice Muhammar/ Baranyoosh)	381.02
